"headID","year","startDtEarly","startDtLate","endDtEarly","endDtLate","phenNote","prematureEnd","prematureEndCause"
"14011-blu-2012",2012,"2012-07-02","2012-07-02","2012-07-08","2012-07-08","",NA,""
"14047-clr-2012",2012,"2012-06-28","2012-06-28","2012-07-04","2012-07-04","",NA,""
"14238-yel-2012",2012,"2012-06-28","2012-06-28","2012-07-14","2012-07-14","",NA,""
"14238-blu-2012",2012,"2012-07-02","2012-07-02","2012-07-02","2012-07-03","",NA,""
"14238-red-2012",2012,"2012-06-29","2012-06-29","2012-07-06","2012-07-06","",NA,""
"14238-wht-2012",2012,"2012-07-03","2012-07-03","2012-07-13","2012-07-15","",NA,""
"17134-clr-2012",2012,"2012-06-25","2012-06-25","2012-07-06","2012-07-06","",NA,""
"17134-wht-2012",2012,"2012-06-28","2012-06-28","2012-07-08","2012-07-08","",NA,""
"17134-yel-2012",2012,"2012-06-27","2012-06-27","2012-07-09","2012-07-09","",NA,""
"17195-blu-2012",2012,"2012-06-27","2012-06-27","2012-07-06","2012-07-06","",NA,""
"17315-grn-2012",2012,"2012-06-30","2012-06-30","2012-07-05","2012-07-05","",NA,""
"17316-bac-2012",2012,"2012-07-08","2012-07-08","2012-07-20","2012-07-20","",NA,""
"17317-clr-2012",2012,"2012-07-05","2012-07-05","2012-07-13","2012-07-13","",NA,""
"17317-grn-2012",2012,"2012-06-26","2012-06-26","2012-07-05","2012-07-05","",NA,""
"17320-yel-2012",2012,"2012-06-29","2012-06-29","2012-07-06","2012-07-06","",NA,""
"17213-clr-2012",2012,"2012-07-13","2012-07-13","2012-07-21","2012-07-21","[hd updated from nott to clr to match phen gk 16May2015]",NA,""
"1502-yel-2012",2012,"2012-06-25","2012-06-25","2012-07-03","2012-07-03","",NA,""
"1801-yel-2012",2012,"2012-06-27","2012-06-27","2012-07-08","2012-07-08","LK maternal & paternal head",NA,""
"6473-blu-2012",2012,"2012-06-22","2012-06-22","2012-07-03","2012-07-03","",NA,""
"6473-wht-2012",2012,"2012-06-29","2012-06-29","2012-07-07","2012-07-07","",NA,""
"6487-red-2012",2012,"2012-06-23","2012-06-23","2012-07-03","2012-07-03","",NA,""
"12060-red-2012",2012,"2012-07-05","2012-07-05","2012-07-16","2012-07-16","LK paternal head",NA,""
"12060-grn-2012",2012,"2012-06-29","2012-06-29","2012-07-08","2012-07-08","LK paternal head",NA,""
"13039-blu-2012",2012,"2012-06-27","2012-06-27","2012-07-07","2012-07-07","LK paternal head",NA,""
"13040-wht-2012",2012,"2012-06-29","2012-06-29","2012-07-07","2012-07-07","",NA,""
"13261-bac-2012",2012,"2012-06-29","2012-06-29","2012-07-07","2012-07-07","",NA,""
"13620-grn-2012",2012,"2012-06-27","2012-06-27","2012-07-09","2012-07-09","",NA,""
"14673-wht-2012",2012,"2012-06-25","2012-06-25","2012-07-03","2012-07-03","",NA,""
"14717-grn-2012",2012,"2012-06-24","2012-06-24","2012-07-03","2012-07-03","",NA,""
"14754-clr-2012",2012,"2012-06-21","2012-06-22","2012-07-03","2012-07-03","",NA,""
"16105-grn-2012",2012,"2012-06-29","2012-06-29","2012-07-05","2012-07-05","",NA,""
"17104-blu-2012",2012,"2012-06-23","2012-06-23","2012-07-02","2012-07-02","LK paternal head",NA,""
"17105-red-2012",2012,"2012-07-01","2012-07-01","2012-07-08","2012-07-08","",NA,""
